STUDY_ID,REVIEWERS,INCLUDE,Record.Number,Author,Year,Title,Abstract,Reference.Type,Journal,Volume,Pages,Issue,Keywords,Accession.Number,DOI,ISSN
637,Jonny,NO,1902,"Withers, M. R.;Correa, M. T.;Morrow, M.;Stebbins, M. E.;Seriwatana, J.;Webster, W. D.;Boak, M. B.;Vaughn, D. W.",2002,"Antibody levels to hepatitis E virus in North Carolina swine workers, non-swine workers, swine, and murids","In a cross-sectional serosurvey, eastern North Carolina swine workers (n = 165) were compared with non-swine workers (127) for the presence of antibodies to hepatitis E virus as measured by a quantitative immunoglobulin enzyme-linked immunosorbent assay. Using a cutoff of 20 Walter Reed U/ml, swine-exposed subjects had a 4.5-fold higher antibody prevalence (10.9%) than unexposed subjects (2.4%). No evidence of past clinical hepatitis E or unexplained jaundice could be elicited. Swine (84) and mice (61), from farm sites in the same region as exposed subjects, were also tested. Antibody prevalence in swine (overall = 34.5%) varied widely (10.0-91.7%) according to site, but no antibody was detected in mice. Our data contribute to the accumulating evidence that hepatitis E may be a zoonosis and specifically to the concept of it as an occupational infection of livestock workers.",Journal Article,Am J Trop Med Hyg,66,4,384-8,Agricultural Workers' Diseases/*epidemiology/virology;Animal Husbandry;Animals;Cross-Sectional Studies;Enzyme-Linked Immunosorbent Assay/methods;Female;Hepatitis Antibodies/*blood;Hepatitis E/*epidemiology/veterinary/virology;Hepatitis E virus/*immunology;Humans;Male;Mice;North Carolina/epidemiology;Occupational Exposure;Rats;Rodent Diseases/*epidemiology/virology;Swine;Swine Diseases/*epidemiology/virology;Zoonoses/virology,12164292,10.4269/ajtmh.2002.66.384,0002-9637 (Print);0002-9637
638,Jonny,NO,4292,"Wolfe, N. D.;Heneine, W.;Carr, J. K.;Garcia, A. D.;Shanmugam, V.;Tamoufe, U.;Torimiro, J. N.;Prosser, A. T.;Lebreton, M.;Mpoudi-Ngole, E.;McCutchan, F. E.;Birx, D. L.;Folks, T. M.;Burke, D. S.;Switzer, W. M.",2005,Emergence of unique primate T-lymphotropic viruses among central African bushmeat hunters,"The human T-lymphotropic viruses (HTLVs) types 1 and 2 originated independently and are related to distinct lineages of simian T-lymphotropic viruses (STLV-1 and STLV-2, respectively). These facts, along with the finding that HTLV-1 diversity appears to have resulted from multiple cross-species transmissions of STLV-1, suggest that contact between humans and infected nonhuman primates (NHPs) may result in HTLV emergence. We investigated the diversity of HTLV among central Africans reporting contact with NHP blood and body fluids through hunting, butchering, and keeping primate pets. We show that this population is infected with a wide variety of HTLVs, including two previously unknown retroviruses: HTLV-4 is a member of a phylogenetic lineage that is distinct from all known HTLVs and STLVs; HTLV-3 falls within the phylogenetic diversity of STLV-3, a group not previously seen in humans. We also document human infection with multiple STLV-1-like viruses. These results demonstrate greater HTLV diversity than previously recognized and suggest that NHP exposure contributes to HTLV emergence. Our discovery of unique and divergent HTLVs has implications for HTLV diagnosis, blood screening, and potential disease development in infected persons. The findings also indicate that cross-species transmission is not the rate-limiting step in pandemic retrovirus emergence and suggest that it may be possible to predict and prevent disease emergence by surveillance of populations exposed to animal reservoirs and interventions to decrease risk factors, such as primate hunting.",Journal Article,Proc Natl Acad Sci U S A,102,22,7994-9,"Base Sequence;Blotting, Western;Cameroon/epidemiology;Communicable Diseases, Emerging/epidemiology/*genetics/virology;DNA Primers;Deltaretrovirus/*genetics;Deltaretrovirus Infections/*epidemiology/*genetics/transmission;Humans;Likelihood Functions;Models, Genetic;Molecular Sequence Data;*Phylogeny;Prevalence;Rural Population;Sequence Analysis, DNA",15911757,10.1073/pnas.0501734102,0027-8424 (Print);0027-8424
639,Jonny,maybe,896,"Wolfe, N. D.;Switzer, W. M.;Carr, J. K.;Bhullar, V. B.;Shanmugam, V.;Tamoufe, U.;Prosser, A. T.;Torimiro, J. N.;Wright, A.;Mpoudi-Ngole, E.;McCutchan, F. E.;Birx, D. L.;Folks, T. M.;Burke, D. S.;Heneine, W.",2004,Naturally acquired simian retrovirus infections in central African hunters,"BACKGROUND: Hunting and butchering of wild non-human primates infected with simian immunodeficiency virus (SIV) is thought to have sparked the HIV pandemic. Although SIV and other primate retroviruses infect laboratory workers and zoo workers, zoonotic retrovirus transmission has not been documented in natural settings. We investigated zoonotic infection in individuals living in central Africa. METHODS: We obtained behavioural data, plasma samples, and peripheral blood lymphocytes from individuals living in rural villages in Cameroon. We did serological testing, PCR, and sequence analysis to obtain evidence of retrovirus infection. FINDINGS: Zoonotic infections with simian foamy virus (SFV), a retrovirus endemic in most Old World primates, were identified in people living in central African forests who reported direct contact with blood and body fluids of wild non-human primates. Ten (1%) of 1099 individuals had antibodies to SFV. Sequence analysis from these individuals revealed three geographically-independent human SFV infections, each of which was acquired from a distinct non-human primate lineage: De Brazza's guenon (Cercopithecus neglectus), mandrill (Mandrillus sphinx), and gorilla (Gorilla gorilla), two of which (De Brazza's guenon and mandrill) are naturally infected with SIV. INTERPRETATION: Our findings show that retroviruses are actively crossing into human populations, and demonstrate that people in central Africa are currently infected with SFV. Contact with non-human primates, such as happens during hunting and butchering, can play a part in the emergence of human retroviruses and the reduction of primate bushmeat hunting has the potential to decrease the frequency of disease emergence.",Journal Article,Lancet,363,9413,932-7,"Animals;Cameroon/epidemiology;Cercopithecus;Communicable Diseases, Emerging/transmission/veterinary/virology;Gorilla gorilla;Humans;Papio;Primates/*virology;Retroviridae Infections/epidemiology/*transmission/*veterinary;Retroviruses, Simian/*isolation & purification;Spumavirus/isolation & purification;Zoonoses/epidemiology/*transmission",15043960,10.1016/s0140-6736(04)15787-5,0140-6736
640,Jonny,maybe,1146,"Wu, F. T.;B?nyai, K.;Lin, J. S.;Wu, H. S.;Hsiung, C. A.;Huang, Y. C.;Hwang, K. P.;Jiang, B.;Gentsch, J. R.",2012,"Putative canine origin of rotavirus strain detected in a child with diarrhea, Taiwan","Rotavirus G3P[3] strains have been reported from a variety of species including humans, cats, dogs, monkeys, goats, and cows. Here, we report the characterization of the first human G3P[3] rotavirus from East Asia identified in a 2-year-old child who was treated in a hospital's emergency ward in Taiwan in February 2005. Sequence and phylogenetic analysis demonstrated a close genetic relationship between the VP4, VP6, VP7, and NSP4 genes of Taiwanese G3P[3] strain 04-94s51 and an Italian canine strain isolated a decade ago, suggesting a canine origin for the Taiwanese strain. In contrast, the Taiwanese strain was only moderately related to well-characterized canine-origin human G3P[3] strains Ro1845 and HCR3, suggesting a distinct origin for the rotavirus strain from Taiwan.",Journal Article,Vector Borne Zoonotic Dis,12,2,170-3,"Animals;Child, Preschool;Diarrhea/*virology;Dog Diseases/*virology;Dogs;Feces/virology;Genotype;Humans;Italy;Rotavirus/*genetics;Taiwan;Zoonoses/virology",22022813,10.1089/vbz.2011.0708,1530-3667 (Print);1530-3667
641,Jonny,NO,3322,"Wu, F. T.;B?nyai, K.;Jiang, B.;Liu, L. T.;Marton, S.;Huang, Y. C.;Huang, L. M.;Liao, M. H.;Hsiung, C. A.",2017,"Novel G9 rotavirus strains co-circulate in children and pigs, Taiwan","Molecular epidemiologic studies collecting information of the spatiotemporal distribution of rotavirus VP7 (G) and VP4 (P) genotypes have shown evidence for the increasing global importance of genotype G9 rotaviruses in humans and pigs. Sequence comparison of the VP7 gene of G9 strains identified different lineages to prevail in the respective host species although some of these lineages appear to be shared among heterologous hosts providing evidence of interspecies transmission events. The majority of these events indicates the pig-to-human spillover, although a reverse route of transmission cannot be excluded either. In this study, new variants of G9 rotaviruses were identified in two children with diarrhea and numerous pigs in Taiwan. Whole genome sequence and phylogenetic analyses of selected strains showed close genetic relationship among porcine and human strains suggesting zoonotic origin of Taiwanese human G9 strains detected in 2014-2015. Although the identified human G9P[19] and G9P[13] rotaviruses represented minority strains, the repeated detection of porcine-like rotavirus strains in Taiwanese children over time justifies the continuation of synchronized strain surveillance in humans and domestic animals.",Journal Article,Sci Rep,7,,40731,"Amino Acid Motifs;Amino Acid Sequence;Amino Acid Substitution;Animals;Child, Preschool;Genome, Viral;Genotype;Geography, Medical;Humans;Infant;Phylogeny;Recombination, Genetic;Rotavirus/*classification/genetics;Rotavirus Infections/epidemiology/*virology;Swine;Swine Diseases/epidemiology/*virology;Taiwan",28098174,10.1038/srep40731,2045-2322
642,Jonny,maybe,4385,"Xiang, B.;Han, L.;Gao, P.;You, R.;Wang, F.;Xiao, J.;Liao, M.;Kang, Y.;Ren, T.",2017,"Spillover of Newcastle disease viruses from poultry to wild birds in Guangdong province, southern China","Despite intensive vaccination programs in many countries, including China, Newcastle disease has been reported sporadically and is still a significant threat to the poultry industry in China. Newcastle disease virus (NDV) is infectious for at least 250 bird species, but the role of wild birds in virus epidemiology remains largely unknown. Fourteen NDV isolates were obtained from 2040 samples collected from wild birds or the environment in Guangdong province, southern China, from 2013 to 2015. The isolation rate was the highest in the period of wintering and lowest during the periods of spring migration, nesting, and postnesting. A maximum clade credibility phylogenetic analysis revealed that at least four genotypes circulate in southern China: three class II genotypes (II, VI, and IX) and one class I (1b). We also demonstrated that most isolates from wild birds were highly similar to isolates from poultry, and two isolates were linked to viruses from wild birds in northern China. These data suggested that wild birds could disseminate NDV and poultry-derived viruses may spillover to wild birds. Accordingly, vaccine development and poultry management strategies should be considered to prevent future NDV outbreaks, particularly given the strength of the poultry industry in developing countries, such as China.",Journal Article,Infect Genet Evol,55,,199-204,"Animals;*Animals, Wild;Birds/*virology;China/epidemiology;*Disease Outbreaks;Newcastle Disease/*epidemiology/*transmission/virology;*Newcastle disease virus;Phylogeny;Poultry/*virology;Public Health Surveillance;Sequence Analysis, DNA;Viral Fusion Proteins/genetics;*Pathogenicity;*Phylogenetic analysis;*Spillover;*Wild bird",28935610,10.1016/j.meegid.2017.09.020,1567-1348
643,Jonny,NO,1353,"Xu, Z. Y.;Tang, Y. W.;Kan, L. Y.;Tsai, T. F.",1987,Cats--source of protection or infection? A case-control study of hemorrhagic fever with renal syndrome,"In the first case-control study analyzing risk factors in sporadic hemorrhagic fever with renal syndrome, 111 cases occurring in Shanghai in 1983 and 1984 and 136 matched controls were studied. Three factors were associated with risk of disease: travel in the month before onset of illness, intense exposure to rodents in the home, and cat ownership. Risk associated with cat ownership was not confounded by exposure to rodents in the home. Neither cat ownership nor risk associated with rodent exposure was confounded by history of travel. The role of cats as reservoir hosts of Hantaan virus is undefined, but this epidemiologic study indicates that infected cats may pose an important risk in the spread of this virus to humans. A survey of peridomestic animals in suburban Shanghai disclosed Hantaan virus infections in two rodent species and in an insectivore, Suncus murinus.",Journal Article,Am J Epidemiol,126,5,942-8,Adolescent;Adult;Animals;Cats/*microbiology;Child;China;Epidemiologic Methods;Hantavirus/isolation & purification;Hemorrhagic Fever with Renal;Syndrome/complications/epidemiology/*etiology/transmission;Humans;Kidney Diseases/complications;Mice/microbiology;Middle Aged;Rats/microbiology;Risk Factors;Travel;Urban Population;Zoonoses/microbiology/transmission,2889355,10.1093/oxfordjournals.aje.a114732,0002-9262 (Print);0002-9262
644,Jonny,NO,5004,"Xue, R.;Tian, Y.;Hou, T.;Bao, D.;Chen, H.;Teng, Q.;Yang, J.;Li, X.;Wang, G.;Li, Z.;Liu, Q.",2018,H9N2 influenza virus isolated from minks has enhanced virulence in mice,"H9N2 is one of the major subtypes of influenza virus circulating in poultry in China, which has a wide host range from bird to mammals. Two H9N2 viruses were isolated from one mink farm in 2014. Phylogenetic analysis showed that internal genes of the H9N2 viruses have close relationship with those of H7N9 viruses. Interestingly, two H9N2 were separated in phylogenetic trees, indicating that they are introduced to this mink farm in two independent events. And further mice studies showed that one H9N2 caused obvious weight loss and 20% mortality in infected mice, while another virus did not cause any clinical sign in mice infected at the same dose. Genetic analysis indicated that the virulent H9N2 contain a natural mutation at 701N in PB2 protein, which was reported to contribute to mammalian adaptation. However, such substitution is absent in the H9N2 avirulent to mice. Circulation of H9N2 in mink may drive the virus to adapt mammals; continual surveillance of influenza virus in mink was warranted.",Journal Article,Transbound Emerg Dis,65,3,904-910,"*Adaptation, Biological;Animals;Influenza A Virus, H9N2 Subtype/*isolation & purification/*pathogenicity;Mice;Mice, Inbred BALB C;Mink/*virology;Orthomyxoviridae Infections/*veterinary;Phylogeny;Viral Proteins/genetics;Virulence/*physiology;Virus Attachment;701n;H9n2;influenza A virus;mink;pathogenicity;phylogenetic analysis",29333687,10.1111/tbed.12805,1865-1674
645,Jonny,NO,2204,"Yadav, P. D.;Thacker, S.;Patil, D. Y.;Jain, R.;Mourya, D. T.",2017,"Crimean-Congo Hemorrhagic Fever in Migrant Worker Returning from Oman to India, 2016","In January 2016, a migrant worker who returned home to India after becoming ill in Oman was confirmed to have Crimean-Congo hemorrhagic fever (CCHF). Physicians should include CCHF in the differential diagnosis for patients with hemorrhagic signs and a history of recent travel to any area where CCHF is endemic or prevalent.",Journal Article,Emerg Infect Dis,23,6,1005-1008,"Adult;Animals;Antibodies, Viral/*blood;Chlorocebus aethiops;Hemorrhagic Fever Virus, Crimean-Congo/classification/*genetics/isolation &;purification;Hemorrhagic Fever, Crimean/*diagnosis/virology;Humans;Immunoglobulin M/*blood;India;Mice;Oman;Phylogeny;RNA, Viral/*genetics;*Transients and Migrants;Travel;Vero Cells;Viral Load;*Crimean-Congo hemorrhagic fever;*Crimean-Congo hemorrhagic fever virus;*India;*Oman;*imported case;*tick-borne disease;*vector-borne infections;*viruses;*zoonoses",28518037,10.3201/eid2306.161950,1080-6040 (Print);1080-6040
646,Jonny,NO,6814,"Yahiaoui, F.;Kardjadj, M.;Laidoudi, Y.;Medkour, H.;Ben-Mahdi, M. H.",2018,"The epidemiology of dog rabies in Algeria: Retrospective national study of dog rabies cases, determination of vaccination coverage and immune response evaluation of three commercial used vaccines","Rabies is a neglected zoonotic disease. Several animal species can transmit rabies, but domestic dogs are the main reservoir implicated in rabies transmission to human and other susceptible animals. There is a scarcity of data regarding canine rabies in Algeria. Hence, this report is the first study that attempts to understand the epidemiology of dog rabies through a retrospective national study of rabies cases between 2010 and 2016, determination of canine vaccination coverage and evaluation of immune response of three rabies commercial vaccines used in Algeria. Our results revealed the persistent nature of dog rabies in Algeria; with a mean of 131 positive cases per year. The vaccination coverage findings indicated that 30.81% (126/409) of the reported vaccinated dog and 47.98% (261/544) of all studied dogs presented low level of rabies antibodies titres (less than 0.5 IU), and were therefore considered not immune to rabies. Additionally, our vaccine evaluation findigs showed a weak immune response of inactivated vaccine without adjuvant. Even with adjuvanted inactivated and attenuated live vaccines, several vaccinated dogs did not develop vaccine protection. Therefore, our results recommend further studies to test the efficiency of adding a booster vaccine shot, especially in primo-vaccinated dogs to optimize the vaccination protocol; rabies is potentially fatal zoonosis, tolerating no vaccine failure. Moreover, the present study establish the necessity to re-examine the national rabies control program, implemented in 1996, particularly concerning population education, vaccination strategy, surveillance and campaigns monitoring.",Journal Article,Prev Vet Med,158,,65-70,Algeria/epidemiology;Animals;Dog Diseases/epidemiology/virology;Dogs;Female;Male;Rabies/epidemiology/*veterinary/virology;Rabies Vaccines/*immunology;Rabies virus/*immunology;Retrospective Studies;Vaccination Coverage/*statistics & numerical data;Algeria;Epidemiology;Rabies;Vaccination,30220397,10.1016/j.prevetmed.2018.07.011,0167-5877
647,Jonny,maybe,1438,"Yamanaka, A.;Kirino, Y.;Fujimoto, S.;Ueda, N.;Himeji, D.;Miura, M.;Sudaryatma, P. E.;Sato, Y.;Tanaka, H.;Mekata, H.;Okabayashi, T.",2020,Direct Transmission of Severe Fever with Thrombocytopenia Syndrome Virus from Domestic Cat to Veterinary Personnel,Two veterinary personnel in Japan were infected with severe fever with thrombocytopenia syndrome virus (SFTSV) while handling a sick cat. Whole-genome sequences of SFTSV isolated from the personnel and the cat were 100% identical. These results identified a nosocomial outbreak of SFTSV infection in an animal hospital without a tick as a vector.,Journal Article,Emerg Infect Dis,26,12,2994-2998,Animals;*Bunyaviridae Infections/epidemiology/veterinary;Cats;Japan/epidemiology;*Phlebovirus/genetics;*Severe Fever with Thrombocytopenia Syndrome;*Ticks;Veterinarians;Zoonoses;*Dabie bandavirus;*Japan;*sfts;*sftsv;*animal hospital;*cat;*cat-to-human transmission;*nosocomial outbreak;*severe fever with thrombocytopenia syndrome virus;*veterinary medicine;*viruses;*zoonoses,33219655,10.3201/eid2612.191513,1080-6040 (Print);1080-6040
648,Jonny,maybe,3640,"Yamanaka, T.;Nemoto, M.;Tsujimura, K.;Kondo, T.;Matsumura, T.",2009,Interspecies transmission of equine influenza virus (H3N8) to dogs by close contact with experimentally infected horses,"In horse populations, influenza A virus subtype H3N8 (equine influenza virus, EIV) is a very important pathogen that leads to acute respiratory disease. Recently, EIV has emerged in dogs, and has become widespread among the canine population in the United States. The interspecies transmission route had thus far remained unclear. Here, we tested whether the interspecies transmission of EIV to dogs could occur as a result of close contact with experimentally EIV-infected horses. Three pairs consisting of an EIV-infected horse and a healthy dog were kept together in individual stalls for 15 consecutive days. A subsequent hemagglutination inhibition test revealed that all three dogs exhibited seroconversion. Moreover, two of the three dogs exhibited virus shedding. However, the dogs exhibited no clinical signs throughout the course of the study. These data suggest that the interspecies transmission of EIV to dogs could occur as a result of close contact with EIV-infected horses without clinical symptoms. Although the interspecies transmission of EIV is unlikely to become an immediate threat to canine hygiene, close contact between EIV-infected horses and dogs should be avoided during an EI epidemic.",Journal Article,Vet Microbiol,139,03-Apr,351-5,"Animals;Dog Diseases/epidemiology/*transmission/virology;Dogs;Hemagglutination Inhibition Tests/veterinary;Hemagglutinin Glycoproteins, Influenza Virus/genetics;Horse Diseases/epidemiology/*transmission/virology;Horses;*Influenza A Virus, H3N8 Subtype;Japan/epidemiology;Orthomyxoviridae Infections/epidemiology/transmission/*veterinary/virology;Virus Shedding",19596528,10.1016/j.vetmic.2009.06.015,0378-1135
649,Jonny,maybe,2963,"Yan, N.;Yue, H.;Wang, Y.;Zhang, B.;Tang, C.",2021,Genomic analysis reveals G3P[13] porcine rotavirus A interspecific transmission to human from pigs in a swine farm with diarrhoea outbreak,"Rotavirus A (RVA) is a major diarrhoea-causing pathogen in young animals and children. The zoonotic potential of RVA has received extensive attention in recent years. In May 2018, an outbreak of diarrhoea among piglets occurred on a swine farm in Sichuan province, PR China. RVA was detected in 95.7?% (22/23) of piglet samples, 60?% (9/15) of sow samples and 100?% (3/3) of pig-breeder faecal samples. The predominant RVA genotype on this swine farm was G3P[13], and G3P[13] RVA was also detected in the three breeder faecal samples. Three G3P[13] RVA strains were isolated from a piglet faecal sample, a sow faecal sample and a pig-breeder faecal sample, and were named SCLS-X1, SCLS-3 and SCLS-R3, respectively. The complete sequences of 11 gene segments of these three isolates were derived. Phylogenetic analysis showed that ten gene segments (VP7, VP4, VP1-VP3 and NSP1-NSP5) of pig-breeder isolate SCLS-R3 were closely related to pig isolates SCLS-X1 and SCLS-3 from this farm. Only the VP6 gene shared higher homology with human RVA strain I321. Therefore, a G3P[13] porcine RVA strain most likely infected pig breeders. These results provided the first complete epidemiological link demonstrating interspecies transmission of G3P[13] RVA from pigs to human. Our data contribute to an improved understanding of the genetic evolution and interspecies transmission of RVA.",Journal Article,J Gen Virol,102,2,,"Adult;Animals;Diarrhea/*etiology;Disease Outbreaks;Farms;Feces/virology;Female;Genome, Viral;Humans;Male;Phylogeny;Rotavirus/*genetics/isolation & purification;Rotavirus Infections/*transmission/*virology;Swine;Swine Diseases/*virology;Viral Nonstructural Proteins/genetics;*genome;*interspecies transmission;*pig;*rotavirus A",33295864,10.1099/jgv.0.001532,0022-1317
650,Jonny,maybe,800,"Yang, H.;Qiao, C.;Tang, X.;Chen, Y.;Xin, X.;Chen, H.",2012,"Human infection from avian-like influenza A (H1N1) viruses in pigs, China","In investigating influenza in an immunodeficient child in China, in December 2010, we found that the influenza virus showed high sequence identity to that of swine. Serologic evidence indicated that viral persistence in pigs was the source of infection. Continued surveillance of pigs and systemic analysis of swine influenza isolates are needed.",Journal Article,Emerg Infect Dis,18,7,1144-6,"Amino Acid Sequence;Animals;Child, Preschool;China/epidemiology;Humans;Influenza A Virus, H1N1 Subtype/classification/genetics/*isolation &;purification/physiology;Influenza, Human/epidemiology/*virology;Male;Molecular Sequence Data;Orthomyxoviridae Infections/epidemiology/transmission/*veterinary/virology;Phylogeny;Swine;Swine Diseases/epidemiology/*transmission/virology;Zoonoses/epidemiology/virology",22709385,10.3201/eid1807.120009,1080-6040 (Print);1080-6040
651,Jonny,NO,3438,"Yassine, H. M.;Al-Natour, M. Q.;Lee, C. W.;Saif, Y. M.",2007,Interspecies and intraspecies transmission of triple reassortant H3N2 influenza A viruses,"The triple reassortant H3N2 viruses were isolated for the first time from pigs in 1998 and are known to be endemic in swine and turkey populations in the United States. In 2004, we isolated two H3N2 triple reassortant viruses from two turkey breeder flocks in Ohio and Illinois. Infected hens showed no clinical signs, but experienced a complete cessation of egg production. In this study, we evaluated three triple reassortant H3N2 isolates of turkey origin and one isolate of swine origin for their transmission between swine and turkeys. Although all 4 viruses tested share high genetic similarity in all 8 genes, only the Ohio strain (A/turkey/Ohio/313053/04) was shown to transmit efficiently both ways between swine and turkeys. One isolate, A/turkey/North Carolina/03, was able to transmit from pigs to turkeys but not vice versa. Neither of the other two viruses transmitted either way. Sequence analysis of the HA1 gene of the Ohio strain showed one amino acid change (D to A) at residue 190 of the receptor binding domain upon transmission from turkeys to pigs. The Ohio virus was then tested for intraspecies transmission in three different avian species. The virus was shown to replicate and transmit among turkeys, replicate but does not transmit among chickens, and did not replicate in ducks. Identifying viruses with varying inter- and intra-species transmission potential should be useful for further studies on the molecular basis of interspecies transmission.",Journal Article,Virol J,4,,129,"Amino Acid Substitution/genetics;Animals;Chickens;Ducks;Hemagglutinins, Viral/genetics;Influenza A Virus, H3N2 Subtype/genetics/*isolation & purification;Influenza in Birds/*transmission;Neuraminidase/genetics;Orthomyxoviridae Infections/*transmission;Reassortant Viruses/genetics/*isolation & purification;Sequence Analysis, DNA;Swine;Swine Diseases/*transmission;Turkeys;United States;Viral Proteins/genetics",18045494,10.1186/1743-422x-4-129,1743-422x
652,Jonny,NO,4525,"Yeo, S. J.;Than, D. D.;Park, H. S.;Sung, H. W.;Park, H.",2019,Molecular Characterization of a Novel Avian Influenza A (H2N9) Strain Isolated from Wild Duck in Korea in 2018,"A novel avian influenza virus (A/wild duck/Korea/K102/2018) (H2N9) was isolated from wild birds in South Korea in 2018, and phylogenetic and molecular analyses were conducted on complete gene sequences obtained by next-generation sequencing. Phylogenetic analysis indicated that the hemagglutinin (HA) and neuraminidase (NA) genes of the A/wild duck/Korea/K102/2018 (H2N9) virus belonged to the Eurasian countries, whereas other internal genes (polymerase basic protein 1 (PB1), PB2, nucleoprotein (NP), polymerase acidic protein (PA), matrix protein (M), and non-structural protein (NS)) belonged to the East Asian countries. A monobasic amino acid (PQIEPR/GLF) at the HA cleavage site, E627 in the PB2 gene, and no deletion of the stalk region in the NA gene indicated that the A/wild duck/Korea/K102/2018 (H2N9) isolate was a typical low pathogenicity avian influenza (LPAI). Nucleotide sequence similarity analysis of HA revealed that the highest homology (98.34%) is to that of A/duck/Mongolia/482/2015 (H2N3), and amino acid sequence of NA was closely related to that of A/duck/Bangladesh/8987/2010 (H10N9) (96.45%). In contrast, internal genes showed homology higher than 98% compared to those of other isolates derived from duck and wild birds of China or Japan in 2016-2018. The newly isolated A/wild duck/Korea/K102/2018 (H2N9) strain is the first reported avian influenza virus in Korea, and may have evolved from multiple genotypes in wild birds and ducks in Mongolia, China, and Japan.",Journal Article,Viruses,11,11,,"Animals;Animals, Wild/virology;Birds;Ducks/virology;Genes, Viral;Genome, Viral;*Influenza A virus/classification/genetics/isolation & purification;Influenza in Birds/*virology;Phylogeny;Phylogeography;Republic of Korea;*h2n9;*Korea;*novel avian influenza virus isolate;*wild duck",31717636,10.3390/v11111046,1999-4915
653,Jonny,maybe,3042,"Yodmeeklin, A.;Khamrin, P.;Chuchaona, W.;Kumthip, K.;Kongkaew, A.;Vachirachewin, R.;Okitsu, S.;Ushijima, H.;Maneekarn, N.",2017,Analysis of complete genome sequences of G9P[19] rotavirus strains from human and piglet with diarrhea provides evidence for whole-genome interspecies transmission of nonreassorted porcine rotavirus,"Whole genomes of G9P[19] human (RVA/Human-wt/THA/CMH-S070-13/2013/G9P[19]) and porcine (RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19]) rotaviruses concurrently detected in the same geographical area in northern Thailand were sequenced and analyzed for their genetic relationships using bioinformatic tools. The complete genome sequence of human rotavirus RVA/Human-wt/THA/CMH-S070-13/2013/G9P[19] was most closely related to those of porcine rotavirus RVA/Pig-wt/THA/CMP-015-12/2012/G9P[19] and to those of porcine-like human and porcine rotaviruses reference strains than to those of human rotavirus reference strains. The genotype constellation of G9P[19] detected in human and piglet were identical and displayed as the G9-P[19]-I5-R1-C1-M1-A8-N1-T1-E1-H1 genotypes with the nucleotide sequence identities of VP7, VP4, VP6, VP1, VP2, VP3, NSP1, NSP2, NSP3, NSP4, and NSP5 at 99.0%, 99.5%, 93.2%, 97.7%, 97.7%, 85.6%, 89.5%, 93.2%, 92.9%, 94.0%, and 98.1%, respectively. The findings indicate that human rotavirus strain RVA/Human-wt/THA/CMH-S070-13/2013/G9P[19] containing the genome segments of porcine genetic backbone is most likely a human rotavirus of porcine origin. Our data provide an evidence of interspecies transmission and whole-genome transmission of nonreassorted G9P[19] porcine RVA to human occurring in nature in northern Thailand.",Journal Article,Infect Genet Evol,47,,99-108,"Animals;Child;Diarrhea/veterinary/*virology;Feces/virology;Genome, Viral/*genetics;Humans;Phylogeny;Rotavirus/*classification/*genetics;Rotavirus Infections/*transmission/veterinary/*virology;Swine;Viral Proteins/genetics;*Complete genome;*G9P[19] strains;*Group A rotavirus;*Interspecies transmission;*Whole-genome transmission",27894992,10.1016/j.meegid.2016.11.021,1567-1348
654,Jonny,NO,2052,"Yoon, H.;Moon, O. K.;More, S. J.;Park, C. K.;Park, J. Y.;Lee, Y. J.;Lee, S. D.;Ha, J. K.;Jeong, S. K.;Jeong, J. W.;Lee, S. J.",2010,"An outbreak of highly pathogenic avian influenza at a public animal exhibit in seoul, Korea, during 2008","This study describes the first recorded outbreak of HPAI in the city of Seoul, in captive birds held in an exhibition for public viewing at a local district office. The index cases were two pheasants, which had been introduced into the exhibit on 24 April, 4 days prior to death, from a store in a local market in Gyeonggi-do. Ducks and chickens from an HPAI outbreak farm, subsequently confirmed on 4 May, had also been held in this store. This outbreak highlights the potential role of local markets in AIV transmission. This outbreak led to considerable public health concern in Korea, however, no human cases were reported. The non-commercial poultry sector needs to be considered in national plans for preparedness and response.",Journal Article,Zoonoses Public Health,57,2,142-5,"Animals;Animals, Zoo/virology;Birds;Chickens;Commerce;Disease Outbreaks/*veterinary;Ducks;Humans;*Influenza A Virus, H5N1 Subtype;Influenza in Birds/*epidemiology/*transmission;Influenza, Human/prevention & control;Korea/epidemiology;Public Health;Turkeys;*Zoonoses",19638167,10.1111/j.1863-2378.2009.01235.x,1863-1959
